pu_area,do_area,count
AP,AP,2453
AP,BK,114
AP,BX,3
AP,CT,78
AP,M,1462
AP,NJ,242
AP,NY,142
AP,OT,2015
AP,QU,54
AP,SI,5
BK,AP,2453
BK,BK,114
BK,M,1462
BK,NJ,242
BK,OT,2015
BK,QU,54
BX,AP,2453
BX,M,1462
CT,AP,2453
CT,CT,78
CT,M,1462
CT,NJ,242
CT,OT,2015
M,AP,2453
M,BK,114
M,BX,3
M,CT,78
M,LI,1
M,M,1462
M,NJ,242
M,NY,142
M,OT,2015
M,QU,54
NJ,AP,2453
NJ,BK,114
NJ,M,1462
NJ,NJ,242
NJ,NY,142
NJ,OT,2015
NY,AP,2453
NY,M,1462
NY,NJ,242
NY,NY,142
NY,OT,2015
NY,QU,54
NY,SI,5
OT,AP,2453
OT,CT,78
OT,M,1462
OT,NJ,242
OT,NY,142
OT,OT,2015
QU,AP,2453
QU,BK,114
QU,M,1462
QU,NJ,242
QU,NY,142
QU,QU,54
SI,AP,2453
